Name,Type,main_muscle,secondary_muscle,equipment,mechanics,level,sport,force
Ab Crunch Machine,Strength,Abdominals,0,Machine,Isolation,Intermediate,No,Pull
Adductor,Stretching,Adductors,0,FoamRoll,Isolation,Intermediate,No,Static
Advanced Kettlebell Windmill,Strength,Abdominals, Glutes Hamstrings Shoulders,Kettlebells,Isolation,Intermediate,No,Push
All Fours Quad Stretch,PronatedHipFlexorStretch,,,,,,,
Alternate Heel Touchers,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Alternate Leg Diagonal Bound,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
Alternating Deltoid Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Alternating Hang Clean,Strength,Hamstrings, Biceps Calves Forearms Glutes LowerBack Traps,Kettlebells,Compound,Intermediate,No,Pull
Alternating Kettlebell Row,Strength,MiddleBack, Biceps Lats,Kettlebells,Isolation,Intermediate,No,Pull
Ankle Circles,Stretching,Calves,0,None,Isolation,Beginner,No,Pull
Anterior Tibialis-SMR,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
Arm Circles,Stretching,Shoulders, Traps,None,Isolation,Beginner,No,Push
Around The Worlds,Strength,Chest, Shoulders,Dumbbell,Compound,Intermediate,No,Push
Atlas Stones,Strongman,LowerBack, Abdominals Adductors Biceps Calves Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Other,Compound,Expert,Yes,Pull
Ab Crunch Machine,Strength,Abdominals,0,Machine,Isolation,Intermediate,No,Pull
Adductor,Stretching,Adductors,0,FoamRoll,Isolation,Intermediate,No,Static
Advanced Kettlebell Windmill,Strength,Abdominals, Glutes Hamstrings Shoulders,Kettlebells,Isolation,Intermediate,No,Push
All Fours Quad Stretch,Stretching,Quadriceps, Quadriceps,BodyOnly,N/A,Intermediate,No,Static
Alternate Heel Touchers,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Alternate Leg Diagonal Bound,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
Alternating Deltoid Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Alternating Hang Clean,Strength,Hamstrings, Biceps Calves Forearms Glutes LowerBack Traps,Kettlebells,Compound,Intermediate,No,Pull
Alternating Kettlebell Row,Strength,MiddleBack, Biceps Lats,Kettlebells,Isolation,Intermediate,No,Pull
Ankle Circles,Stretching,Calves,0,None,Isolation,Beginner,No,Pull
Anterior Tibialis-SMR,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
Arm Circles,Stretching,Shoulders, Traps,None,Isolation,Beginner,No,Push
Around The Worlds,Strength,Chest, Shoulders,Dumbbell,Compound,Intermediate,No,Push
Atlas Stones,Strongman,LowerBack, Abdominals Adductors Biceps Calves Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Other,Compound,Expert,Yes,Pull
Back Flyes - With Bands,Strength,Shoulders, MiddleBack Triceps,Bands,Compound,Beginner,No,Pull
Backward Medicine Ball Throw,Plyometrics,Shoulders,0,MedicineBall,Compound,Beginner,No,Push
Ball Leg Curl,Strength,Hamstrings, Calves Glutes,ExerciseBall,Isolation,Beginner,No,Pull
Band Good Morning,Powerlifting,Hamstrings, Glutes LowerBack,Bands,Compound,Beginner,No,Pull
Band Hip Adductions,Strength,Adductors,0,Bands,Isolation,Beginner,No,Pull
Band Skull Crusher,Strength,Triceps,0,Bands,Isolation,Beginner,No,Push
Barbell Ab Rollout - On Knees,Strength,Abdominals, LowerBack Shoulders,Barbell,Compound,Expert,No,Pull
Barbell Curl,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
Barbell Deadlift,Strength,LowerBack, Calves Forearms Glutes Hamstrings Lats MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,Yes,Pull
Barbell Glute Bridge,Powerlifting,Glutes, Calves Hamstrings,Barbell,Compound,Intermediate,No,Push
Barbell Hack Squat,Strength,Quadriceps, Calves Forearms Hamstrings,Barbell,Compound,Intermediate,No,Push
Barbell Incline Bench Press - Medium Grip,Strength,Chest, Shoulders Triceps,Barbell,Compound,Beginner,No,Push
Barbell Lunge,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Barbell Rollout from Bench,Strength,Abdominals, Glutes Hamstrings Lats Shoulders,Barbell,Compound,Intermediate,No,Pull
Barbell Shoulder Press,Strength,Shoulders, Chest Triceps,Barbell,Compound,Intermediate,No,Push
Barbell Shrug Behind The Back,Strength,Traps, Forearms MiddleBack,Barbell,Isolation,Beginner,No,Pull
Barbell Side Split Squat,Strength,Quadriceps, Calves Hamstrings LowerBack,Barbell,Compound,Beginner,No,Push
Barbell Squat To A Bench,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
Barbell Walking Lunge,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Beginner,No,Push
Bear Crawl Sled Drags,Strongman,Quadriceps, Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
Bench Dips,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
Bench Press - Powerlifting,Powerlifting,Triceps, Chest Forearms Lats Shoulders,Barbell,Compound,Intermediate,Yes,Push
Bench Press with Chains,Powerlifting,Triceps, Chest Lats Shoulders,Barbell,Compound,Expert,No,Push
Bent Over Barbell Row,Strength,MiddleBack, Biceps Lats Shoulders,Barbell,Compound,Beginner,No,Pull
Bent Over Low-Pulley Side Lateral,Strength,Shoulders, LowerBack MiddleBack Traps,Cable,Isolation,Beginner,No,Pull
Bent Over Two-Arm Long Bar Row,Strength,MiddleBack, Biceps Lats,Barbell,Compound,Intermediate,No,Pull
Bent Over Two-Dumbbell Row With Palms In,Strength,MiddleBack, Biceps Lats,Dumbbell,Compound,Beginner,No,Pull
Bent-Arm Barbell Pullover,Strength,Lats, Chest Lats Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
Bent-Knee Hip Raise,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Bicycling,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
Body Tricep Press,Strength,Triceps,0,BodyOnly,Isolation,Beginner,No,Push
Bodyweight Flyes,Strength,Chest, Abdominals Shoulders Triceps,E-ZCurlBar,Isolation,Intermediate,No,Push
Bodyweight Squat,Strength,Quadriceps, Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Bosu Ball Cable Crunch With Side Bends,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Bottoms-Up Clean From The Hang Position,Strength,Forearms, Biceps Shoulders,Kettlebells,Compound,Intermediate,No,Pull
Box Skip,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
Box Squat with Bands,Powerlifting,Quadriceps, Abductors Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
Brachialis-SMR,Stretching,Biceps,0,FoamRoll,N/A,Intermediate,No,Static
Butt Lift (Bridge),Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
Butterfly,Strength,Chest,0,Machine,Isolation,Beginner,No,Pull
Back Flyes - With Bands,Strength,Shoulders, MiddleBack Triceps,Bands,Compound,Beginner,No,Pull
Backward Medicine Ball Throw,Plyometrics,Shoulders,0,MedicineBall,Compound,Beginner,No,Push
Ball Leg Curl,Strength,Hamstrings, Calves Glutes,ExerciseBall,Isolation,Beginner,No,Pull
Band Good Morning,Powerlifting,Hamstrings, Glutes LowerBack,Bands,Compound,Beginner,No,Pull
Band Hip Adductions,Strength,Adductors,0,Bands,Isolation,Beginner,No,Pull
Band Skull Crusher,Strength,Triceps,0,Bands,Isolation,Beginner,No,Push
Barbell Ab Rollout - On Knees,Strength,Abdominals, LowerBack Shoulders,Barbell,Compound,Expert,No,Pull
Barbell Curl,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
Barbell Deadlift,Strength,LowerBack, Calves Forearms Glutes Hamstrings Lats MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,Yes,Pull
Barbell Glute Bridge,Powerlifting,Glutes, Calves Hamstrings,Barbell,Compound,Intermediate,No,Push
Barbell Hack Squat,Strength,Quadriceps, Calves Forearms Hamstrings,Barbell,Compound,Intermediate,No,Push
Barbell Incline Bench Press - Medium Grip,Strength,Chest, Shoulders Triceps,Barbell,Compound,Beginner,No,Push
Barbell Lunge,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Barbell Rollout from Bench,Strength,Abdominals, Glutes Hamstrings Lats Shoulders,Barbell,Compound,Intermediate,No,Pull
Barbell Shoulder Press,Strength,Shoulders, Chest Triceps,Barbell,Compound,Intermediate,No,Push
Barbell Shrug Behind The Back,Strength,Traps, Forearms MiddleBack,Barbell,Isolation,Beginner,No,Pull
Barbell Side Split Squat,Strength,Quadriceps, Calves Hamstrings LowerBack,Barbell,Compound,Beginner,No,Push
Barbell Squat To A Bench,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
Barbell Walking Lunge,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Beginner,No,Push
Bear Crawl Sled Drags,Strongman,Quadriceps, Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
Bench Dips,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
Bench Press - Powerlifting,Powerlifting,Triceps, Chest Forearms Lats Shoulders,Barbell,Compound,Intermediate,Yes,Push
Bench Press with Chains,Powerlifting,Triceps, Chest Lats Shoulders,Barbell,Compound,Expert,No,Push
Bent Over Barbell Row,Strength,MiddleBack, Biceps Lats Shoulders,Barbell,Compound,Beginner,No,Pull
Bent Over Low-Pulley Side Lateral,Strength,Shoulders, LowerBack MiddleBack Traps,Cable,Isolation,Beginner,No,Pull
Bent Over Two-Arm Long Bar Row,Strength,MiddleBack, Biceps Lats,Barbell,Compound,Intermediate,No,Pull
Bent Over Two-Dumbbell Row With Palms In,Strength,MiddleBack, Biceps Lats,Dumbbell,Compound,Beginner,No,Pull
Bent-Arm Barbell Pullover,Strength,Lats, Chest Lats Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
Bent-Knee Hip Raise,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Bicycling,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
Body Tricep Press,Strength,Triceps,0,BodyOnly,Isolation,Beginner,No,Push
Bodyweight Flyes,Strength,Chest, Abdominals Shoulders Triceps,E-ZCurlBar,Isolation,Intermediate,No,Push
Bodyweight Squat,Strength,Quadriceps, Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Bosu Ball Cable Crunch With Side Bends,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Bottoms-Up Clean From The Hang Position,Strength,Forearms, Biceps Shoulders,Kettlebells,Compound,Intermediate,No,Pull
Box Skip,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
Box Squat with Bands,Powerlifting,Quadriceps, Abductors Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
Brachialis-SMR,Stretching,Biceps,0,FoamRoll,N/A,Intermediate,No,Static
Butt Lift (Bridge),Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
Butterfly,Strength,Chest,0,Machine,Isolation,Beginner,No,Pull
Cable Chest Press,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
Cable Crunch,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Cable Hammer Curls - Rope Attachment,Strength,Biceps,0,Cable,Isolation,Beginner,No,Pull
Cable Incline Pushdown,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
Cable Internal Rotation,Strength,Shoulders,0,Cable,Compound,Beginner,No,Pull
Cable Judo Flip,Strength,Abdominals,0,Cable,Compound,Beginner,No,Pull
Cable One Arm Tricep Extension,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Cable Rear Delt Fly,Strength,Shoulders,0,Cable,Isolation,Beginner,No,Pull
Cable Rope Overhead Triceps Extension,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Cable Russian Twists,Strength,Abdominals,0,Cable,Compound,Beginner,No,Pull
Cable Seated Lateral Raise,Strength,Shoulders, MiddleBack Traps,Cable,Isolation,Beginner,No,Pull
Cable Shrugs,Strength,Traps,0,Cable,Isolation,Beginner,No,Pull
Cable Wrist Curl,Strength,Forearms,0,Cable,Isolation,Beginner,No,Pull
Calf Press On The Leg Press Machine,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Calf Raises - With Bands,Strength,Calves,0,Bands,Isolation,Beginner,No,Push
Calf Stretch Hands Against Wall,Stretching,Calves,0,None,Isolation,Beginner,No,Static
Calves-SMR,Stretching,Calves,0,FoamRoll,N/A,Intermediate,No,Static
Car Drivers,Strength,Shoulders, Forearms,Other,Isolation,Beginner,No,Push
Cat Stretch,Stretching,LowerBack, MiddleBack Traps,None,N/A,Beginner,No,Static
Chain Handle Extension,Powerlifting,Triceps,0,Other,Isolation,Intermediate,No,Push
Chair Leg Extended Stretch,Stretching,Hamstrings, Adductors,Other,Isolation,Beginner,No,Static
Chair Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
Chest And Front Of Shoulder Stretch,Stretching,Chest, Shoulders,Other,Isolation,Beginner,No,Static
Chest Push (single response),Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
Chest Push with Run Release,Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
'Child''s Pose',Stretching,LowerBack, Glutes MiddleBack,None,N/A,Beginner,No,Static
Chin-Up,Strength,Lats, Biceps Forearms MiddleBack,BodyOnly,Compound,Beginner,No,Pull
Clean,OlympicWeightlifting,Hamstrings, Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Clean and Press,Strength,Shoulders, Abdominals Calves Glutes Hamstrings LowerBack MiddleBack Quadriceps Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Push
Clean from Blocks,OlympicWeightlifting,Quadriceps, Calves Glutes Hamstrings Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Clean Shrug,OlympicWeightlifting,Traps, Forearms Shoulders,Barbell,Compound,Beginner,No,Pull
Close-Grip Barbell Bench Press,Strength,Triceps, Chest Shoulders,Barbell,Compound,Beginner,No,Push
Close-Grip EZ Bar Curl,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
Close-Grip EZ-Bar Press,Strength,Triceps, Chest Shoulders,E-ZCurlBar,Compound,Beginner,No,Push
Close-Grip Push-Up off of a Dumbbell,Strength,Triceps, Abdominals Chest Shoulders,BodyOnly,Compound,Intermediate,No,Push
Cocoons,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Concentration Curls,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Cross Over - With Bands,Strength,Chest, Biceps Shoulders,Bands,Compound,Beginner,No,Push
Crossover Reverse Lunge,Stretching,LowerBack, Abdominals Abductors Glutes Hamstrings Quadriceps,None,N/A,Intermediate,No,Pull
Crunch - Hands Overhead,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Crunches,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Cable Chest Press,Strength,Chest, Shoulders Triceps,Cable,Compound,Beginner,No,Push
Cable Crunch,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Cable Hammer Curls - Rope Attachment,Strength,Biceps,0,Cable,Isolation,Beginner,No,Pull
Cable Incline Pushdown,Strength,Lats,0,Cable,Isolation,Beginner,No,Pull
Cable Internal Rotation,Strength,Shoulders,0,Cable,Compound,Beginner,No,Pull
Cable Judo Flip,Strength,Abdominals,0,Cable,Compound,Beginner,No,Pull
Cable One Arm Tricep Extension,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Cable Rear Delt Fly,Strength,Shoulders,0,Cable,Isolation,Beginner,No,Pull
Cable Rope Overhead Triceps Extension,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Cable Russian Twists,Strength,Abdominals,0,Cable,Compound,Beginner,No,Pull
Cable Seated Lateral Raise,Strength,Shoulders, MiddleBack Traps,Cable,Isolation,Beginner,No,Pull
Cable Shrugs,Strength,Traps,0,Cable,Isolation,Beginner,No,Pull
Cable Wrist Curl,Strength,Forearms,0,Cable,Isolation,Beginner,No,Pull
Calf Press On The Leg Press Machine,Strength,Calves,0,Machine,Isolation,Beginner,No,Push
Calf Raises - With Bands,Strength,Calves,0,Bands,Isolation,Beginner,No,Push
Calf Stretch Hands Against Wall,Stretching,Calves,0,None,Isolation,Beginner,No,Static
Calves-SMR,Stretching,Calves,0,FoamRoll,N/A,Intermediate,No,Static
Car Drivers,Strength,Shoulders, Forearms,Other,Isolation,Beginner,No,Push
Cat Stretch,Stretching,LowerBack, MiddleBack Traps,None,N/A,Beginner,No,Static
Chain Handle Extension,Powerlifting,Triceps,0,Other,Isolation,Intermediate,No,Push
Chair Leg Extended Stretch,Stretching,Hamstrings, Adductors,Other,Isolation,Beginner,No,Static
Chair Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
Chest And Front Of Shoulder Stretch,Stretching,Chest, Shoulders,Other,Isolation,Beginner,No,Static
Chest Push (single response),Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
Chest Push with Run Release,Plyometrics,Chest, Abdominals Shoulders Triceps,MedicineBall,Compound,Beginner,No,Push
'Child''s Pose',Stretching,LowerBack, Glutes MiddleBack,None,N/A,Beginner,No,Static
Chin-Up,Strength,Lats, Biceps Forearms MiddleBack,BodyOnly,Compound,Beginner,No,Pull
Clean,OlympicWeightlifting,Hamstrings, Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Clean and Press,Strength,Shoulders, Abdominals Calves Glutes Hamstrings LowerBack MiddleBack Quadriceps Shoulders Traps Triceps,Barbell,Compound,Intermediate,No,Push
Clean from Blocks,OlympicWeightlifting,Quadriceps, Calves Glutes Hamstrings Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Clean Shrug,OlympicWeightlifting,Traps, Forearms Shoulders,Barbell,Compound,Beginner,No,Pull
Close-Grip Barbell Bench Press,Strength,Triceps, Chest Shoulders,Barbell,Compound,Beginner,No,Push
Close-Grip EZ Bar Curl,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
Close-Grip EZ-Bar Press,Strength,Triceps, Chest Shoulders,E-ZCurlBar,Compound,Beginner,No,Push
Close-Grip Push-Up off of a Dumbbell,Strength,Triceps, Abdominals Chest Shoulders,BodyOnly,Compound,Intermediate,No,Push
Cocoons,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Concentration Curls,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Cross Over - With Bands,Strength,Chest, Biceps Shoulders,Bands,Compound,Beginner,No,Push
Crossover Reverse Lunge,Stretching,LowerBack, Abdominals Abductors Glutes Hamstrings Quadriceps,None,N/A,Intermediate,No,Pull
Crunch - Hands Overhead,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Crunches,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
'Dancer''s Stretch',Stretching,LowerBack, Abductors Glutes,None,N/A,Beginner,No,Static
Deadlift with Chains,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
Decline Close-Grip Bench To Skull Crusher,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
Decline Dumbbell Bench Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Decline Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Decline Oblique Crunch,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Decline Reverse Crunch,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Deficit Deadlift,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Dip Machine,Strength,Triceps, Chest Shoulders,Machine,Compound,Beginner,No,Push
Dips - Triceps Version,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
Double Kettlebell Alternating Hang Clean,Strength,Hamstrings, Biceps Calves Forearms Glutes LowerBack Quadriceps Traps,Kettlebells,Compound,Intermediate,No,Pull
Double Kettlebell Push Press,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Double Kettlebell Windmill,Strength,Abdominals, Glutes Hamstrings Shoulders Triceps,Kettlebells,N/A,Intermediate,No,Pull
Downward Facing Balance,Strength,Glutes, Abdominals Hamstrings,ExerciseBall,Isolation,Intermediate,No,Static
Drop Push,Plyometrics,Chest, Shoulders Triceps,Other,Compound,Intermediate,No,Push
Dumbbell Bench Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Dumbbell Bicep Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Dumbbell Floor Press,Powerlifting,Triceps, Chest Shoulders,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Incline Row,Strength,MiddleBack, Biceps Forearms Lats Shoulders,Dumbbell,Compound,Beginner,No,Pull
Dumbbell Lunges,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
Dumbbell Lying Pronation,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell Lying Supination,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell One-Arm Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Intermediate,No,Push
Dumbbell Prone Incline Curl,Strength,Biceps,0,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell Rear Lunge,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Seated Box Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Compound,Intermediate,No,Push,
Dumbbell Shoulder Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Side Bend,Strength,Abdominals,0,Dumbbell,Isolation,Beginner,No,Pull
Dumbbell Squat To A Bench,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Tricep Extension -Pronated Grip,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Dynamic Chest Stretch,Stretching,Chest, MiddleBack,None,N/A,Beginner,No,Pull
