Name,Type,main_muscle,secondary_muscle,equipment,mechanics,level,sport,force
'Dancer''s Stretch',Stretching,LowerBack, Abductors Glutes,None,N/A,Beginner,No,Static
Deadlift with Chains,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Expert,No,Pull
Decline Close-Grip Bench To Skull Crusher,Strength,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
Decline Dumbbell Bench Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Decline Dumbbell Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Decline Oblique Crunch,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Decline Reverse Crunch,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Deficit Deadlift,Powerlifting,LowerBack, Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,No,Pull
Dip Machine,Strength,Triceps, Chest Shoulders,Machine,Compound,Beginner,No,Push
Dips - Triceps Version,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
Double Kettlebell Alternating Hang Clean,Strength,Hamstrings, Biceps Calves Forearms Glutes LowerBack Quadriceps Traps,Kettlebells,Compound,Intermediate,No,Pull
Double Kettlebell Push Press,Strength,Shoulders, Calves Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Double Kettlebell Windmill,Strength,Abdominals, Glutes Hamstrings Shoulders Triceps,Kettlebells,N/A,Intermediate,No,Pull
Downward Facing Balance,Strength,Glutes, Abdominals Hamstrings,ExerciseBall,Isolation,Intermediate,No,Static
Drop Push,Plyometrics,Chest, Shoulders Triceps,Other,Compound,Intermediate,No,Push
Dumbbell Bench Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Dumbbell Bicep Curl,Strength,Biceps, Forearms,Dumbbell,Isolation,Beginner,No,Pull
Dumbbell Floor Press,Powerlifting,Triceps, Chest Shoulders,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Incline Row,Strength,MiddleBack, Biceps Forearms Lats Shoulders,Dumbbell,Compound,Beginner,No,Pull
Dumbbell Lunges,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Beginner,No,Push
Dumbbell Lying Pronation,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell Lying Supination,Strength,Forearms,0,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell One-Arm Triceps Extension,Strength,Triceps,0,Dumbbell,Isolation,Intermediate,No,Push
Dumbbell Prone Incline Curl,Strength,Biceps,0,Dumbbell,Isolation,Intermediate,No,Pull
Dumbbell Rear Lunge,Strength,Quadriceps, Calves Glutes Hamstrings,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Seated Box Jump,Plyometrics,Quadriceps, Calves Glutes Hamstrings,Compound,Intermediate,No,Push,
Dumbbell Shoulder Press,Strength,Shoulders, Triceps,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Side Bend,Strength,Abdominals,0,Dumbbell,Isolation,Beginner,No,Pull
Dumbbell Squat To A Bench,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Dumbbell,Compound,Intermediate,No,Push
Dumbbell Tricep Extension -Pronated Grip,Strength,Triceps,0,Dumbbell,Isolation,Beginner,No,Push
Dynamic Chest Stretch,Stretching,Chest, MiddleBack,None,N/A,Beginner,No,Pull
Elbow Circles,Stretching,Shoulders, Traps,None,Isolation,Beginner,No,Pull
Elbows Back,Stretching,Chest, Shoulders,None,Isolation,Beginner,No,Static
Elevated Cable Rows,Strength,Lats, MiddleBack Traps,Cable,Compound,Intermediate,No,Pull
Exercise Ball Crunch,Strength,Abdominals,0,ExerciseBall,Isolation,Beginner,No,Pull
Extended Range One-Arm Kettlebell Floor Press,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Beginner,No,Push
External Rotation with Band,Strength,Shoulders,0,Bands,Compound,Beginner,No,Pull
EZ-Bar Curl,Strength,Biceps,0,E-ZCurlBar,Isolation,Beginner,No,Pull
Elbow Circles,Stretching,Shoulders, Traps,None,Isolation,Beginner,No,Pull
Elbows Back,Stretching,Chest, Shoulders,None,Isolation,Beginner,No,Static
Elevated Cable Rows,Strength,Lats, MiddleBack Traps,Cable,Compound,Intermediate,No,Pull
Exercise Ball Crunch,Strength,Abdominals,0,ExerciseBall,Isolation,Beginner,No,Pull
Extended Range One-Arm Kettlebell Floor Press,Strength,Chest, Shoulders Triceps,Kettlebells,Compound,Beginner,No,Push
External Rotation with Band,Strength,Shoulders,0,Bands,Compound,Beginner,No,Pull
EZ-Bar Curl,Strength,Biceps,0,E-ZCurlBar,Isolation,Beginner,No,Pull
Face Pull,Strength,Shoulders, MiddleBack,Cable,Compound,Intermediate,No,Pull
Fast Skipping,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Flat Bench Cable Flyes,Strength,Chest,0,Cable,Isolation,Intermediate,No,Push
Flat Bench Lying Leg Raise,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Floor Glute-Ham Raise,Strength,Hamstrings, Calves Glutes,None,Isolation,Intermediate,No,Pull
Floor Press with Chains,Powerlifting,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
Foot-SMR,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
Frankenstein Squat,OlympicWeightlifting,Quadriceps, Abdominals Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Frog Hops,Stretching,Quadriceps, Calves Glutes Hamstrings,None,Compound,Intermediate,No,Push
Front Barbell Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
Front Box Jump,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
Front Cone Hops (or hurdle hops),Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
Front Incline Dumbbell Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Front Plate Raise,Strength,Shoulders,0,Other,Isolation,Intermediate,No,Push
Front Squat (Clean Grip),Strength,Quadriceps, Abdominals Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Front Two-Dumbbell Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Face Pull,Strength,Shoulders, MiddleBack,Cable,Compound,Intermediate,No,Pull
Fast Skipping,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
Flat Bench Cable Flyes,Strength,Chest,0,Cable,Isolation,Intermediate,No,Push
Flat Bench Lying Leg Raise,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
Floor Glute-Ham Raise,Strength,Hamstrings, Calves Glutes,None,Isolation,Intermediate,No,Pull
Floor Press with Chains,Powerlifting,Triceps, Chest Shoulders,Barbell,Compound,Intermediate,No,Push
Foot-SMR,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
Frankenstein Squat,OlympicWeightlifting,Quadriceps, Abdominals Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Frog Hops,Stretching,Quadriceps, Calves Glutes Hamstrings,None,Compound,Intermediate,No,Push
Front Barbell Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Expert,No,Push
Front Box Jump,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
Front Cone Hops (or hurdle hops),Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
Front Incline Dumbbell Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Front Plate Raise,Strength,Shoulders,0,Other,Isolation,Intermediate,No,Push
Front Squat (Clean Grip),Strength,Quadriceps, Abdominals Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
Front Two-Dumbbell Raise,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
Gironda Sternum Chins,Strength,Lats, Biceps MiddleBack,Other,Compound,Intermediate,No,Pull
Glute Kickback,Strength,Glutes, Hamstrings,BodyOnly,Compound,Beginner,No,Push
Good Morning,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
Gorilla Chin/Crunch,Strength,Abdominals, Biceps Lats,BodyOnly,Compound,Intermediate,No,Pull
Groiners,Stretching,Adductors,0,BodyOnly,Compound,Intermediate,No,Pull
Gironda Sternum Chins,Strength,Lats, Biceps MiddleBack,Other,Compound,Intermediate,No,Pull
Glute Kickback,Strength,Glutes, Hamstrings,BodyOnly,Compound,Beginner,No,Push
Good Morning,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
Gorilla Chin/Crunch,Strength,Abdominals, Biceps Lats,BodyOnly,Compound,Intermediate,No,Pull
Groiners,Stretching,Adductors,0,BodyOnly,Compound,Intermediate,No,Pull
Hack Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
Hammer Grip Incline DB Bench Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Hamstring-SMR,Stretching,Hamstrings,0,FoamRoll,Isolation,Beginner,No,Static
Hang Clean,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Hang Snatch,OlympicWeightlifting,Hamstrings, Abdominals Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Expert,No,Pull
Hanging Bar Good Morning,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
Hanging Pike,Strength,Abdominals,0,BodyOnly,Compound,Expert,No,Pull
Heavy Bag Thrust,Plyometrics,Chest, Abdominals Shoulders Triceps,Other,Compound,Beginner,No,Push
Hip Circles (prone),Stretching,Abductors, Adductors,BodyOnly,Isolation,Beginner,No,Pull
Hip Extension with Bands,Strength,Glutes, Hamstrings,Bands,Compound,Beginner,No,Push
Hip Lift with Band,Powerlifting,Glutes, Calves Hamstrings,Bands,Compound,Beginner,No,Push
Hug Knees To Chest,Stretching,LowerBack, Glutes,None,N/A,Beginner,No,Static
Hyperextensions (Back Extensions),Strength,LowerBack, Glutes Hamstrings,Other,Isolation,Beginner,No,Pull
Hack Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Beginner,No,Push
Hammer Grip Incline DB Bench Press,Strength,Chest, Shoulders Triceps,Dumbbell,Compound,Beginner,No,Push
Hamstring-SMR,Stretching,Hamstrings,0,FoamRoll,Isolation,Beginner,No,Static
Hang Clean,OlympicWeightlifting,Quadriceps, Calves Forearms Glutes Hamstrings LowerBack Shoulders Traps,Barbell,Compound,Intermediate,No,Pull
Hang Snatch,OlympicWeightlifting,Hamstrings, Abdominals Calves Forearms Glutes LowerBack Quadriceps Shoulders Traps,Barbell,Compound,Expert,No,Pull
Hanging Bar Good Morning,Powerlifting,Hamstrings, Abdominals Glutes LowerBack,Barbell,Compound,Intermediate,No,Push
Hanging Pike,Strength,Abdominals,0,BodyOnly,Compound,Expert,No,Pull
Heavy Bag Thrust,Plyometrics,Chest, Abdominals Shoulders Triceps,Other,Compound,Beginner,No,Push
Hip Circles (prone),Stretching,Abductors, Adductors,BodyOnly,Isolation,Beginner,No,Pull
Hip Extension with Bands,Strength,Glutes, Hamstrings,Bands,Compound,Beginner,No,Push
Hip Lift with Band,Powerlifting,Glutes, Calves Hamstrings,Bands,Compound,Beginner,No,Push
Hug Knees To Chest,Stretching,LowerBack, Glutes,None,N/A,Beginner,No,Static
Hyperextensions (Back Extensions),Strength,LowerBack, Glutes Hamstrings,Other,Isolation,Beginner,No,Pull
Iliotibial Tract-SMR,Stretching,Abductors,0,FoamRoll,Isolation,Intermediate,No,Static
Incline Bench Pull,Strength,MiddleBack, Lats Shoulders,Barbell,Isolation,Beginner,No,Pull
Incline Cable Flye,Strength,Chest, Shoulders,Cable,Isolation,Intermediate,No,Push
Incline Dumbbell Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Incline Dumbbell Flyes - With A Twist,Strength,Chest, Shoulders,Dumbbell,Compound,Beginner,No,Push
Incline Hammer Curls,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Incline Push-Up,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Incline Push-Up Depth Jump,Plyometrics,Chest, Shoulders Triceps,Other,Compound,Beginner,No,Push
Incline Push-Up Reverse Grip,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Intermediate Groin Stretch,Stretching,Hamstrings,0,Other,Isolation,Intermediate,No,Static
Internal Rotation with Band,Strength,Shoulders,0,Bands,Isolation,Beginner,No,N/A
Inverted Row with Straps,Strength,MiddleBack, Biceps Lats,Other,Compound,Beginner,No,Pull
Iron Crosses (stretch),Stretching,Quadriceps,0,None,Compound,Intermediate,No,Pull
Isometric Neck Exercise - Front And Back,Strength,Neck,0,BodyOnly,Isolation,Beginner,No,Static
Isometric Wipers,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Iliotibial Tract-SMR,Stretching,Abductors,0,FoamRoll,Isolation,Intermediate,No,Static
Incline Bench Pull,Strength,MiddleBack, Lats Shoulders,Barbell,Isolation,Beginner,No,Pull
Incline Cable Flye,Strength,Chest, Shoulders,Cable,Isolation,Intermediate,No,Push
Incline Dumbbell Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Incline Dumbbell Flyes - With A Twist,Strength,Chest, Shoulders,Dumbbell,Compound,Beginner,No,Push
Incline Hammer Curls,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Incline Push-Up,Strength,Chest, Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Incline Push-Up Depth Jump,Plyometrics,Chest, Shoulders Triceps,Other,Compound,Beginner,No,Push
Incline Push-Up Reverse Grip,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Intermediate Groin Stretch,Stretching,Hamstrings,0,Other,Isolation,Intermediate,No,Static
Internal Rotation with Band,Strength,Shoulders,0,Bands,Isolation,Beginner,No,N/A
Inverted Row with Straps,Strength,MiddleBack, Biceps Lats,Other,Compound,Beginner,No,Pull
Iron Crosses (stretch),Stretching,Quadriceps,0,None,Compound,Intermediate,No,Pull
Isometric Neck Exercise - Front And Back,Strength,Neck,0,BodyOnly,Isolation,Beginner,No,Static
Isometric Wipers,Strength,Chest, Abdominals Shoulders Triceps,BodyOnly,Compound,Beginner,No,Push
Jackknife Sit-Up,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Jefferson Squats,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack Traps,Barbell,Compound,Intermediate,No,Push
Jerk Dip Squat,OlympicWeightlifting,Quadriceps, Abdominals Calves,Barbell,Compound,Intermediate,No,Push
Jogging-Treadmill,Cardio,Quadriceps, Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
Jackknife Sit-Up,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Jefferson Squats,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack Traps,Barbell,Compound,Intermediate,No,Push
Jerk Dip Squat,OlympicWeightlifting,Quadriceps, Abdominals Calves,Barbell,Compound,Intermediate,No,Push
Jogging-Treadmill,Cardio,Quadriceps, Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
Keg Load,Strongman,LowerBack, Abdominals Biceps Calves Forearms Glutes Hamstrings MiddleBack Quadriceps Shoulders Traps,Other,Compound,Intermediate,Yes,Pull
Kettlebell Dead Clean,Strength,Hamstrings, Calves Glutes LowerBack Quadriceps Traps,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Hang Clean,Strength,Hamstrings, Calves Glutes LowerBack Shoulders Traps,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Pass Between The Legs,Strength,Abdominals, Glutes Hamstrings Shoulders,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Pistol Squat,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders,Kettlebells,Compound,Expert,No,Push
Kettlebell Seesaw Press,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
Kettlebell Thruster,Strength,Shoulders, Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Kettlebell Turkish Get-Up (Squat style),Strength,Shoulders, Abdominals Calves Hamstrings Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Kipping Muscle Up,Strength,Lats, Abdominals Biceps Forearms MiddleBack Shoulders Traps Triceps,Other,Compound,Intermediate,No,Pull
Knee Circles,Stretching,Calves, Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Pull
Knee/Hip Raise On Parallel Bars,Strength,Abdominals,0,Other,Isolation,Beginner,No,Pull
Kneeling Cable Crunch With Alternating Oblique Twists,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Kneeling Forearm Stretch,Stretching,Forearms,0,None,Isolation,Beginner,No,Static
Kneeling Hip Flexor,Stretching,Quadriceps, Quadriceps,None,Isolation,Beginner,No,Static
Kneeling Single-Arm High Pulley Row,Strength,Lats, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
Keg Load,Strongman,LowerBack, Abdominals Biceps Calves Forearms Glutes Hamstrings MiddleBack Quadriceps Shoulders Traps,Other,Compound,Intermediate,Yes,Pull
Kettlebell Dead Clean,Strength,Hamstrings, Calves Glutes LowerBack Quadriceps Traps,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Hang Clean,Strength,Hamstrings, Calves Glutes LowerBack Shoulders Traps,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Pass Between The Legs,Strength,Abdominals, Glutes Hamstrings Shoulders,Kettlebells,Compound,Intermediate,No,Pull
Kettlebell Pistol Squat,Strength,Quadriceps, Calves Glutes Hamstrings Shoulders,Kettlebells,Compound,Expert,No,Push
Kettlebell Seesaw Press,Strength,Shoulders, Triceps,Kettlebells,Compound,Intermediate,No,Push
Kettlebell Thruster,Strength,Shoulders, Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Kettlebell Turkish Get-Up (Squat style),Strength,Shoulders, Abdominals Calves Hamstrings Quadriceps Triceps,Kettlebells,Compound,Intermediate,No,Push
Kipping Muscle Up,Strength,Lats, Abdominals Biceps Forearms MiddleBack Shoulders Traps Triceps,Other,Compound,Intermediate,No,Pull
Knee Circles,Stretching,Calves, Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Pull
Knee/Hip Raise On Parallel Bars,Strength,Abdominals,0,Other,Isolation,Beginner,No,Pull
Kneeling Cable Crunch With Alternating Oblique Twists,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
Kneeling Forearm Stretch,Stretching,Forearms,0,None,Isolation,Beginner,No,Static
Kneeling Hip Flexor,Stretching,Quadriceps, Quadriceps,None,Isolation,Beginner,No,Static
Kneeling Single-Arm High Pulley Row,Strength,Lats, Biceps MiddleBack,Cable,Compound,Beginner,No,Pull
'Landmine 180''s',Strength,Abdominals, Glutes LowerBack Shoulders,Barbell,Compound,Beginner,No,Pull
Lateral Bound,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Push
Lateral Cone Hops,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,Other,Compound,Beginner,No,Push
Latissimus Dorsi-SMR,Stretching,Lats,0,FoamRoll,Isolation,Beginner,No,Static
Leg Lift,Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
Leg Pull-In,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Leg-Up Hamstring Stretch,Stretching,Hamstrings,0,None,Isolation,Beginner,No,Push
Leverage Deadlift,Strength,Quadriceps, Glutes Hamstrings,Machine,Compound,Beginner,No,Pull
Leverage High Row,Strength,MiddleBack, Lats,Machine,Compound,Beginner,No,Pull
Leverage Iso Row,Strength,Lats, Biceps MiddleBack,Machine,Compound,Beginner,No,Pull
Leverage Shrug,Strength,Traps, Forearms,Machine,Isolation,Beginner,No,Pull
Linear Acceleration Wall Drill,Plyometrics,Hamstrings, Calves Glutes Quadriceps,None,Compound,Beginner,Both,No
Log Lift,Strongman,Shoulders, Abdominals Chest Glutes Hamstrings LowerBack MiddleBack Quadriceps Traps Triceps,Other,Compound,Intermediate,Yes,Push
Looking At Ceiling,Stretching,Quadriceps,0,None,Isolation,Beginner,No,Static
Low Cable Triceps Extension,Strength,Triceps,0,Cable,Isolation,Beginner,No,Push
Lower Back Curl,Stretching,Abdominals,0,BodyOnly,N/A,Beginner,No,Static
Lunge Pass Through,Strength,Hamstrings, Calves Glutes Quadriceps,Kettlebells,Compound,Intermediate,No,Push
Lying Bent Leg Groin,Stretching,Adductors,0,Other,N/A,Expert,No,Static
Lying Cambered Barbell Row,Strength,MiddleBack, Biceps Lats Traps,Barbell,Isolation,Beginner,No,Pull
Lying Close-Grip Barbell Triceps Extension Behind The Head,Strength,Triceps,0,Barbell,Isolation,Intermediate,No,Push
Lying Crossover,Stretching,Abductors,0,BodyOnly,N/A,Expert,No,Static
Lying Face Down Plate Neck Resistance,Strength,Neck,0,Other,Isolation,Intermediate,No,Pull
Lying Glute,Stretching,Glutes, Abductors,BodyOnly,N/A,Expert,No,Static
Lying High Bench Barbell Curl,Strength,Biceps,0,Barbell,Isolation,Intermediate,No,Pull
Lying Machine Squat,Strength,Quadriceps, Calves Glutes Hamstrings,Machine,Compound,Intermediate,No,Push
Lying Prone Quadriceps,Stretching,Quadriceps,0,BodyOnly,N/A,Expert,No,N/A
Lying Supine Dumbbell Curl,Strength,Biceps,0,Dumbbell,Isolation,Beginner,No,Pull
Lying Triceps Press,Strength,Triceps,0,E-ZCurlBar,Isolation,Intermediate,No,Push
'Landmine 180''s',Strength,Abdominals, Glutes LowerBack Shoulders,Barbell,Compound,Beginner,No,Pull
Lateral Bound,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,BodyOnly,Compound,Beginner,No,Push
Lateral Cone Hops,Plyometrics,Adductors, Abductors Calves Glutes Hamstrings Quadriceps,Other,Compound,Beginner,No,Push
Latissimus Dorsi-SMR,Stretching,Lats,0,FoamRoll,Isolation,Beginner,No,Static
Leg Lift,Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
Leg Pull-In,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
Leg-Up Hamstring Stretch,Stretching,Hamstrings,0,None,Isolation,Beginner,No,Push
Leverage Deadlift,Strength,Quadriceps, Glutes Hamstrings,Machine,Compound,Beginner,No,Pull
Leverage High Row,Strength,MiddleBack, Lats,Machine,Compound,Beginner,No,Pull
Leverage Iso Row,Strength,Lats, Biceps MiddleBack,Machine,Compound,Beginner,No,Pull
Leverage Shrug,Strength,Traps, Forearms,Machine,Isolation,Beginner,No,Pull
